name,id,shortName,domainType,formName,valueType,categoryCombo.id
COVID19_KEMSA_DIAGFAC-2-Nasopharyngeal swabs (Without media) (Pack of 1000) ((Pack of 1000)),mtKmQGQIzZN,KEMSA FACILITY - Nasopharyngeal swabs (Without med,AGGREGATE,Nasopharyngeal swabs (Without media) (Pack of 1000) ((Pack of 1000)),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DIAGFAC-3-Wooden Tongue Depressor 140Mmx19Mm (Pack x 100pcs),Mo2q4fh778x,KEMSA FACILITY - Wooden Tongue Depressor 140Mmx19M,AGGREGATE,Wooden Tongue Depressor 140Mmx19Mm (Pack x 100pcs),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DIAGFAC-4-Puritan sterile polyster kits applicators (Packs of 50s),yjAz1roh54q,KEMSA FACILITY - Puritan sterile polyster kits app,AGGREGATE,Puritan sterile polyster kits applicators (Packs of 50s),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DIAGFAC-5-VTM (Viral Transport Media) (Vials),LH9jqfaeAVh,KEMSA FACILITY - VTM (Viral Transport Media),AGGREGATE,VTM (Viral Transport Media) (Vials),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DIAGFAC-6-Cryovial 4.5ml (pack of 300) (Pack of 300s),YQOKwoE5ORj,KEMSA FACILITY - Cryovial 4.5ml (pack of 300),AGGREGATE,Cryovial 4.5ml (pack of 300) (Pack of 300s),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DIAGFAC-7-Gloves (Nitrile) Large powder free (Pack of 50 Pairs),EpLHpNAj10y,KEMSA FACILITY - Gloves (Nitrile) Large powder fre,AGGREGATE,Gloves (Nitrile) Large powder free (Pack of 50 Pairs),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DIAGFAC-8-Gloves (Nitrile) Medium powder free (Pack of 50 Pairs),vFki7bPuhcJ,KEMSA FACILITY - Gloves (Nitrile) Medium powder fr,AGGREGATE,Gloves (Nitrile) Medium powder free (Pack of 50 Pairs),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DIAGFAC-9-Gloves (Nitrile) Small powder free (Pack of 50 Pairs),alhVjKsqR1e,KEMSA FACILITY - Gloves (Nitrile) Small powder fre,AGGREGATE,Gloves (Nitrile) Small powder free (Pack of 50 Pairs),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-1-Adrenaline Injection 1mg/ml (Ampoule),ZsVm2ui0ALs,KEMSA FACILITY - Adrenaline Injection 1mg/ml,AGGREGATE,Adrenaline Injection 1mg/ml (Ampoule),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-10-Insulin, Premix (short acting +intermediate acting) Human [30 regular + 70 NPH) Injection 10ml Bottle (Vial /Bottle)",uj6BzZpLZsH,"KEMSA FACILITY - Insulin, Premix (short acting +in",AGGREGATE,"Insulin, Premix (short acting +intermediate acting) Human [30 regular + 70 NPH) Injection 10ml Bottle (Vial /Bottle)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-11-Loratadine Tablets, 10mg (Tablet)",Rxuz0Zb5A7i,"KEMSA FACILITY - Loratadine Tablets, 10mg",AGGREGATE,"Loratadine Tablets, 10mg (Tablet)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-12-Magnesium Sulphate Injection, 500mg/mL (50%), 10mL (Ampoule, 10ml)",MJmrey21B2x,"KEMSA FACILITY - Magnesium Sulphate Injection, 500",AGGREGATE,"Magnesium Sulphate Injection, 500mg/mL (50%), 10mL (Ampoule, 10ml)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-13-Metronidazole Tablet, 400mg (Tablet)",gKULJjjtQoX,"KEMSA FACILITY - Metronidazole Tablet, 400mg",AGGREGATE,"Metronidazole Tablet, 400mg (Tablet)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-14-Midazolam Injection 5mg/ml, 3ml (Ampoule)",yOHztHWlE1m,"KEMSA FACILITY - Midazolam Injection 5mg/ml, 3ml",AGGREGATE,"Midazolam Injection 5mg/ml, 3ml (Ampoule)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-15-Nystatin oral suspension 100IU/ml (24ml Bottle),WWEpPhA898z,KEMSA FACILITY - Nystatin oral suspension 100IU/ml,AGGREGATE,Nystatin oral suspension 100IU/ml (24ml Bottle),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-16-ORS Co-Pack (4 sachets of low osmolarity ORS (500ml formulation) + 10 tablets of dispersible zinc sulphate tablets 20mg) (Pack),Al5nYTPCHGF,KEMSA FACILITY - ORS Co-Pack (4 sachets of low osm,AGGREGATE,ORS Co-Pack (4 sachets of low osmolarity ORS (500ml formulation) + 10 tablets of dispersible zinc sulphate tablets 20mg) (Pack),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-17-Oxytocin Injection 10 I.U. (Ampoule),InlHWCHevo8,KEMSA FACILITY - Oxytocin Injection 10 I.U.,AGGREGATE,Oxytocin Injection 10 I.U. (Ampoule),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-18-Paracetamol Syrup/Suspension, 120mg/5ml (60ml Bottle)",uwI09QmPn6o,"KEMSA FACILITY - Paracetamol Syrup/Suspension, 120",AGGREGATE,"Paracetamol Syrup/Suspension, 120mg/5ml (60ml Bottle)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-19-Paracetamol Tablets, 500mg (Tablet)",WqOsBE9AvTv,"KEMSA FACILITY - Paracetamol Tablets, 500mg",AGGREGATE,"Paracetamol Tablets, 500mg (Tablet)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-2-Albendazole Tab. 400mg (Tablet),j9nIGkkMQot,KEMSA FACILITY - Albendazole Tab. 400mg,AGGREGATE,Albendazole Tab. 400mg (Tablet),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-20-Sodium chloride, 0.9% (isotonic), (500mL bottle) (Bottle)",dh6IM17Ayop,"KEMSA FACILITY - Sodium chloride, 0.9% (isotonic),",AGGREGATE,"Sodium chloride, 0.9% (isotonic), (500mL bottle) (Bottle)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-21-Sodium hypochlorite solution 4-6% (5Lt Jar),SjELqthCic7,KEMSA FACILITY - Sodium hypochlorite solution 4-6%,AGGREGATE,Sodium hypochlorite solution 4-6% (5Lt Jar),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-22-Tetracycline Eye Ointment,1%, 3.5g tube (Tube)",R7Gr5uRNBnj,"KEMSA FACILITY - Tetracycline Eye Ointment,1%, 3.5",AGGREGATE,"Tetracycline Eye Ointment,1%, 3.5g tube (Tube)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-3-Amoxicillin Capsules, 500mg (Capsule)",TiS9msYEI0k,"KEMSA FACILITY - Amoxicillin Capsules, 500mg",AGGREGATE,"Amoxicillin Capsules, 500mg (Capsule)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-4-Amoxicillin Dispersible Tablets, 250mg (Tablet)",bxiS4QngneF,"KEMSA FACILITY - Amoxicillin Dispersible Tablets, ",AGGREGATE,"Amoxicillin Dispersible Tablets, 250mg (Tablet)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-5-Benzyl penicillin Injection 1 MU (Vial),quxyY0SGDIu,KEMSA FACILITY - Benzyl penicillin Injection 1 MU,AGGREGATE,Benzyl penicillin Injection 1 MU (Vial),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-6-Benzyl penicillin Injection 5 MU (Vial),spYleIdL955,KEMSA FACILITY - Benzyl penicillin Injection 5 MU,AGGREGATE,Benzyl penicillin Injection 5 MU (Vial),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-7-Chlorhexidine gel, 7.1% (as digluconate) (20 g tube) (Tube)",hkDbzfrbNLL,"KEMSA FACILITY - Chlorhexidine gel, 7.1% (as diglu",AGGREGATE,"Chlorhexidine gel, 7.1% (as digluconate) (20 g tube) (Tube)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_DRUG-8-Gentamicin Injection, 40mg/2ml (Ampoule)",ftYOEIKCA55,"KEMSA FACILITY - Gentamicin Injection, 40mg/2ml",AGGREGATE,"Gentamicin Injection, 40mg/2ml (Ampoule)",INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
COVID19_KEMSA_DRUG-9-Hydrocortisone Injection 100mg (Vial),VPCsIAqvfUs,KEMSA FACILITY - Hydrocortisone Injection 100mg,AGGREGATE,Hydrocortisone Injection 100mg (Vial),INTEGER_ZERO_OR_POSITIVE,awHkWnmbfUF
"COVID19_KEMSA_NA_BIOMED-1-Patient monitor, multiparametric w/o ECG, with accessories (Pieces)",w8vRWkwzf2w,"KEMSA - Patient monitor, multiparametric w/o ECG, ",AGGREGATE,"Patient monitor, multiparametric w/o ECG, with accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-10-Patient monitor, multiparametric w/ECG, with accessories (Pieces)",ZMokdk4J58l,"KEMSA - Patient monitor, multiparametric w/ECG, wi",AGGREGATE,"Patient monitor, multiparametric w/ECG, with accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-11-Cricothyrotomy, set, emergency, 6 mm, sterile, single use (Set)",gDsGDlz8Tqd,"KEMSA - Cricothyrotomy, set, emergency, 6 mm, ster",AGGREGATE,"Cricothyrotomy, set, emergency, 6 mm, sterile, single use (Set)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-12-Laryngoscope, FO, diameter 28 mm, w/blades (Pieces)",Ftx9mloYT6f,"KEMSA - Laryngoscope, FO, diameter 28 mm, w/blades",AGGREGATE,"Laryngoscope, FO, diameter 28 mm, w/blades (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-13-Laryngoscope, FO, neonate, diameter 19 mm, w/blades (Pieces)",QqmmcDYWdWl,"KEMSA - Laryngoscope, FO, neonate, diameter 19 mm,",AGGREGATE,"Laryngoscope, FO, neonate, diameter 19 mm, w/blades (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-14-Self-inflating bag, adult/child (Pieces)",hcuS9WMe3Pk,"KEMSA - Self-inflating bag, adult/child",AGGREGATE,"Self-inflating bag, adult/child (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-15-Self-inflating bag, child/neonate (Pieces)",LlRauvFTlb8,"KEMSA - Self-inflating bag, child/neonate",AGGREGATE,"Self-inflating bag, child/neonate (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-16-Suction bulb, for newborn, reusable, autoclavable (Pieces)",gNUA3EkGhPn,"KEMSA - Suction bulb, for newborn, reusable, autoc",AGGREGATE,"Suction bulb, for newborn, reusable, autoclavable (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-17-Patient ventilator, intensive care, for adult, paediatric and neonate w/breathing circuits (Pieces)",Kew3Dgq93zH,"KEMSA - Patient ventilator, intensive care, for ad",AGGREGATE,"Patient ventilator, intensive care, for adult, paediatric and neonate w/breathing circuits (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-18-High Flow Nasal Cannula, with accessories (Pieces)",wVxLxDwuMTO,"KEMSA - High Flow Nasal Cannula, with accessories",AGGREGATE,"High Flow Nasal Cannula, with accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-19-Suction pump, electrical, w/accessories (Pieces)",MLYQzYsU4wH,"KEMSA - Suction pump, electrical, w/accessories",AGGREGATE,"Suction pump, electrical, w/accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_BIOMED-2-Pulse oximeter - fingertip (Pieces),xFB8Qt2Ysun,KEMSA - Pulse oximeter - fingertip,AGGREGATE,Pulse oximeter - fingertip (Pieces),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-20-Infusion pump, w/accessories (Pieces)",QQZW0TJlKy4,"KEMSA - Infusion pump, w/accessories",AGGREGATE,"Infusion pump, w/accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-21-Drill, for vascular access, w/accessories adult and paediatric, w/transport bag (Pieces)",oCn64QDeo5M,"KEMSA - Drill, for vascular access, w/accessories ",AGGREGATE,"Drill, for vascular access, w/accessories adult and paediatric, w/transport bag (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-22-Defibrillator, semiautomatic, w/accessories (Pieces)",It15XNW3Ap4,"KEMSA - Defibrillator, semiautomatic, w/accessorie",AGGREGATE,"Defibrillator, semiautomatic, w/accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-23-Electrocardiograph, portable, w/accessories (Pieces)",quchomILcpk,"KEMSA - Electrocardiograph, portable, w/accessorie",AGGREGATE,"Electrocardiograph, portable, w/accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-24-Ultrasound, portable, w/ transducers and trolley (Pieces)",lPgkY2UJQxr,"KEMSA - Ultrasound, portable, w/ transducers and t",AGGREGATE,"Ultrasound, portable, w/ transducers and trolley (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-25-Table, resuscitation, neonate (Neonatal resuscitation table) (Pieces)",PrZb1FyOCSk,"KEMSA - Table, resuscitation, neonate (Neonatal re",AGGREGATE,"Table, resuscitation, neonate (Neonatal resuscitation table) (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-26-Infant scale, electronic, 0-20 kg (Pieces)",waJSkXEe1J5,"KEMSA - Infant scale, electronic, 0-20 kg",AGGREGATE,"Infant scale, electronic, 0-20 kg (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-27-Scale, electronic, 50g/0-200kg (Pieces)",u0wl56eVh3Y,"KEMSA - Scale, electronic, 50g/0-200kg",AGGREGATE,"Scale, electronic, 50g/0-200kg (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-28-Autoclave, 40-60L, with accessories (Pieces)",NZ4CDbxat0D,"KEMSA - Autoclave, 40-60L, with accessories",AGGREGATE,"Autoclave, 40-60L, with accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-29-Autoclave, 90L, with accessories (Pieces)",oxbz9VOahTr,"KEMSA - Autoclave, 90L, with accessories",AGGREGATE,"Autoclave, 90L, with accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-3-Concentrator O2, 10 L, with accessories (Pieces)",w4K1IXfzBvx,"KEMSA - Concentrator O2, 10 L, with accessories",AGGREGATE,"Concentrator O2, 10 L, with accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_BIOMED-30-Resuscitator for adults and children (),Eevpl3jOUEB,KEMSA - Resuscitator for adults and children,AGGREGATE,Resuscitator for adults and children (),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_BIOMED-31-Intensive Care Unit beds (),ok91m1A731a,KEMSA - Intensive Care Unit beds,AGGREGATE,Intensive Care Unit beds (),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_BIOMED-32-Clinical Infrared Thermometer (Pieces),yVC79RrmyKx,KEMSA - Clinical Infrared Thermometer,AGGREGATE,Clinical Infrared Thermometer (Pieces),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_BIOMED-4-Oxygen Cylinder (11.5 kg cylinders),gn6YA4TqBba,KEMSA - Oxygen Cylinder,AGGREGATE,Oxygen Cylinder (11.5 kg cylinders),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-5-Flowmeter, Thorpe tube, for pipe oxygen 0-15L/min (Pieces)",XGr2vY8cLN0,"KEMSA - Flowmeter, Thorpe tube, for pipe oxygen 0-",AGGREGATE,"Flowmeter, Thorpe tube, for pipe oxygen 0-15L/min (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-6-CPAP, for neonate, with accessories (Pieces)",BiHHWIAi8uK,"KEMSA - CPAP, for neonate, with accessories",AGGREGATE,"CPAP, for neonate, with accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-7-CPAP, for adult, with accessories (Pieces)",gsA90G9KxPI,"KEMSA - CPAP, for adult, with accessories",AGGREGATE,"CPAP, for adult, with accessories (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-8-Suction pump, manual (Pieces)",up1LSUNVM50,"KEMSA - Suction pump, manual",AGGREGATE,"Suction pump, manual (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_BIOMED-9-Clinical Chemistry Analyser, portable (PoC) (Pieces)",XaV6cqkARoM,"KEMSA - Clinical Chemistry Analyser, portable (PoC",AGGREGATE,"Clinical Chemistry Analyser, portable (PoC) (Pieces)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-1-Oral pharyngeal swabs (Without media) (Pack of 25) ((Pack of 25)),frhSzmoLUsW,KEMSA - Oral pharyngeal swabs (Without media) (Pac,AGGREGATE,Oral pharyngeal swabs (Without media) (Pack of 25) ((Pack of 25)),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-10-Polythene Bags / Liners Black - 30Litres (Pack of 100s),sGSsTfKVnHc,KEMSA - Polythene Bags / Liners Black - 30Litres,AGGREGATE,Polythene Bags / Liners Black - 30Litres (Pack of 100s),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-11-Polythene Bags / Liners Red - 30Litres (Pack of 100s),XI1GQkqgdvi,KEMSA - Polythene Bags / Liners Red - 30Litres,AGGREGATE,Polythene Bags / Liners Red - 30Litres (Pack of 100s),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-12-Polythene Bags / Liners Red - 50Litres (Pack of 100s),D0xLzmtyk4i,KEMSA - Polythene Bags / Liners Red - 50Litres,AGGREGATE,Polythene Bags / Liners Red - 50Litres (Pack of 100s),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-13-Polythene Bags / Liners Yellow - 30 Litres (Pack of 100s),sKajYtzAqmA,KEMSA - Polythene Bags / Liners Yellow - 30 Litres,AGGREGATE,Polythene Bags / Liners Yellow - 30 Litres (Pack of 100s),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-14-Polythene Bags / Liners Yellow- 50Litres (Pack of 100s),FwF0mBChqpj,KEMSA - Polythene Bags / Liners Yellow- 50Litres,AGGREGATE,Polythene Bags / Liners Yellow- 50Litres (Pack of 100s),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-15-Ethanol Analar Grade (2.5 Litres),ByzDCMjs2Hd,KEMSA - Ethanol Analar Grade,AGGREGATE,Ethanol Analar Grade (2.5 Litres),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-16-Blood Collection Tube (Red Top 4 Ml) (Pieces),lORf2s2xNvC,KEMSA - Blood Collection Tube (Red Top 4 Ml),AGGREGATE,Blood Collection Tube (Red Top 4 Ml) (Pieces),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-2-Nasopharyngeal swabs (Without media) (Pack of 1000) ((Pack of 1000)),utlEkGO8Q5J,KEMSA - Nasopharyngeal swabs (Without media) (Pack,AGGREGATE,Nasopharyngeal swabs (Without media) (Pack of 1000) ((Pack of 1000)),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-3-Wooden Tongue Depressor 140Mmx19Mm (Pack x 100pcs),v3xgAwocnVs,KEMSA - Wooden Tongue Depressor 140Mmx19Mm,AGGREGATE,Wooden Tongue Depressor 140Mmx19Mm (Pack x 100pcs),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-4-Puritan sterile polyster kits applicators (Packs of 50s),x2SVkotbVHN,KEMSA - Puritan sterile polyster kits applicators,AGGREGATE,Puritan sterile polyster kits applicators (Packs of 50s),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-5-VTM (Viral Transport Media) (Vials),ET131Y5N7eq,KEMSA - VTM (Viral Transport Media),AGGREGATE,VTM (Viral Transport Media) (Vials),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-6-Cryovial 4.5ml (pack of 300) (Pack of 300s),atUEqOOlaGM,KEMSA - Cryovial 4.5ml (pack of 300),AGGREGATE,Cryovial 4.5ml (pack of 300) (Pack of 300s),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-7-Gloves (Nitrile) Large powder free (Pack of 50 Pairs),UqFAiieoyHm,KEMSA - Gloves (Nitrile) Large powder free,AGGREGATE,Gloves (Nitrile) Large powder free (Pack of 50 Pairs),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-8-Gloves (Nitrile) Medium powder free (Pack of 50 Pairs),Jor3zdNmYnV,KEMSA - Gloves (Nitrile) Medium powder free,AGGREGATE,Gloves (Nitrile) Medium powder free (Pack of 50 Pairs),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DIAGFAC-9-Gloves (Nitrile) Small powder free (Pack of 50 Pairs),XRrSp4hotes,KEMSA - Gloves (Nitrile) Small powder free,AGGREGATE,Gloves (Nitrile) Small powder free (Pack of 50 Pairs),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DRUG-1-Adrenaline Injection 1mg/ml (Ampoule),Ge9k0tQxIhE,KEMSA -,AGGREGATE,Adrenaline Injection 1mg/ml (Ampoule),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_DRUG-10-Insulin, Premix (short acting +intermediate acting) Human [30 regular + 70 NPH) Injection 10ml Bottle (Vial /Bottle)",ZdR54tj9pyF,"KEMSA - Insulin, Premix (short acting +intermediat",AGGREGATE,"Insulin, Premix (short acting +intermediate acting) Human [30 regular + 70 NPH) Injection 10ml Bottle (Vial /Bottle)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_DRUG-11-Loratadine Tablets, 10mg (Tablet)",j9WW9ukKWhn,"KEMSA - Loratadine Tablets, 10mg",AGGREGATE,"Loratadine Tablets, 10mg (Tablet)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_DRUG-12-Magnesium Sulphate Injection, 500mg/mL (50%), 10mL (Ampoule, 10ml)",ey2LCvkzzJr,"KEMSA - Magnesium Sulphate Injection, 500mg/mL (50",AGGREGATE,"Magnesium Sulphate Injection, 500mg/mL (50%), 10mL (Ampoule, 10ml)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_DRUG-13-Metronidazole Tablet, 400mg (Tablet)",iKJSvVIRnAG,"KEMSA - Metronidazole Tablet, 400mg",AGGREGATE,"Metronidazole Tablet, 400mg (Tablet)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_DRUG-14-Midazolam Injection 5mg/ml, 3ml (Ampoule)",bS0IpaOT9Dp,"KEMSA - Midazolam Injection 5mg/ml, 3ml",AGGREGATE,"Midazolam Injection 5mg/ml, 3ml (Ampoule)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DRUG-15-Nystatin oral suspension 100IU/ml (24ml Bottle),q0E7jObbfNW,KEMSA - Nystatin oral suspension 100IU/ml,AGGREGATE,Nystatin oral suspension 100IU/ml (24ml Bottle),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DRUG-16-ORS Co-Pack (4 sachets of low osmolarity ORS (500ml formulation) + 10 tablets of dispersible zinc sulphate tablets 20mg) (Pack),IHAR23TVL5M,KEMSA - ORS Co-Pack (4 sachets of low osmolarity O,AGGREGATE,ORS Co-Pack (4 sachets of low osmolarity ORS (500ml formulation) + 10 tablets of dispersible zinc sulphate tablets 20mg) (Pack),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DRUG-17-Oxytocin Injection 10 I.U. (Ampoule),E530WKilmDA,KEMSA - Oxytocin Injection 10 I.U.,AGGREGATE,Oxytocin Injection 10 I.U. (Ampoule),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_DRUG-18-Paracetamol Syrup/Suspension, 120mg/5ml (60ml Bottle)",RiVqOqzHkVm,"KEMSA - Paracetamol Syrup/Suspension, 120mg/5ml",AGGREGATE,"Paracetamol Syrup/Suspension, 120mg/5ml (60ml Bottle)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
"COVID19_KEMSA_NA_DRUG-19-Paracetamol Tablets, 500mg (Tablet)",mtLI7nJyetw,"KEMSA - Paracetamol Tablets, 500mg",AGGREGATE,"Paracetamol Tablets, 500mg (Tablet)",INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
COVID19_KEMSA_NA_DRUG-2-Albendazole Tab. 400mg (Tablet),mQOmCU0adTo,KEMSA - Adrenaline Injection 1mg/ml,AGGREGATE,Albendazole Tab. 400mg (Tablet),INTEGER_ZERO_OR_POSITIVE,I1buhLsShqX
