name,id,shortName,numerator,denominator
HSSF Utilization rate,QR0uquWjuRv,HSSF Utilization rate1,#{kQ4NVgc2MYs.NhSoXUMPK2K}+#{jY3JFizFzQN.NhSoXUMPK2K}+#{usMDjlboKn4.NhSoXUMPK2K}+#{WuEJXcFURTY.NhSoXUMPK2K}+#{KAVPEvsu7GB.NhSoXUMPK2K}+#{sW1FEKkUlno.NhSoXUMPK2K}+#{JgjYnWEbbXI.NhSoXUMPK2K}+#{GeLsHQnBJSl.NhSoXUMPK2K}+#{Anntg74AWAc.NhSoXUMPK2K}+#{NAWDpCTju9c.NhSoXUMPK2K}+#{uIKFwsGjL8l.NhSoXUMPK2K}+#{zfE43ojuX27.NhSoXUMPK2K}+#{Jm0j7eIJw22.NhSoXUMPK2K}+#{Kvrh6Edh4ux.NhSoXUMPK2K}+#{kZVa4Dfz3oW.NhSoXUMPK2K}+#{ozuOGiiROjR.NhSoXUMPK2K}+#{zq5cC1mHOjZ.NhSoXUMPK2K}+#{kkKxlgb0SIK.NhSoXUMPK2K}+#{ChuFUyaFoat.NhSoXUMPK2K}+#{Ta4fC50ws12.NhSoXUMPK2K}+#{pMp1v17OVlZ.NhSoXUMPK2K}+#{ktAiKqEgewS.NhSoXUMPK2K}+#{eWJI88NUHju.NhSoXUMPK2K}+#{ZL5umjFvNZT.NhSoXUMPK2K}+#{kMyKJqs4tP6.NhSoXUMPK2K}+#{JfMlkDb7sfP.NhSoXUMPK2K}+#{ERUP9jd5kr8.NhSoXUMPK2K}+#{VE7bP4Hd0Y8.NhSoXUMPK2K}+#{G10FiANc4uK.NhSoXUMPK2K}+#{jER1yfrClYQ.NhSoXUMPK2K}+#{zmTKl26bqXb.NhSoXUMPK2K}+#{JqVPN31hItf.NhSoXUMPK2K}+#{FNaQfndi92d.NhSoXUMPK2K}+#{pwYhMY7SObK.NhSoXUMPK2K}+#{T6Zosl4H5TG.NhSoXUMPK2K}+#{W53qF6leiPm.NhSoXUMPK2K}+#{MxceLE1Wgwj.NhSoXUMPK2K}+#{HGfobnG3qSX.NhSoXUMPK2K}+#{WypNzlF1rxb.NhSoXUMPK2K}+#{kltZozM5rkg.NhSoXUMPK2K}+#{SWHhf1eE89t.NhSoXUMPK2K}+#{qLWHhVTIp0l.NhSoXUMPK2K}+#{s2Ha3e0xwwp.NhSoXUMPK2K}+#{RMsgMQj2SBM.NhSoXUMPK2K}+#{X3nuiSHRJJP.NhSoXUMPK2K}+#{bDSQEZM3rtd.NhSoXUMPK2K}+#{dvo26Xu2g3G.NhSoXUMPK2K}+#{dvo26Xu2g3G.NhSoXUMPK2K}+#{ksAM140tLvc.NhSoXUMPK2K}+#{mYIZtgEPa5S.NhSoXUMPK2K}+#{RWwJcCEIcZw.NhSoXUMPK2K}+#{u9TiVtfs3or.NhSoXUMPK2K}+#{BsyP5AnR1pE.NhSoXUMPK2K}+#{p4Vk0aCXUKj.NhSoXUMPK2K}+#{ZysDicYyDxN.NhSoXUMPK2K}+#{Mnz4Ts6dMVo.NhSoXUMPK2K},#{RvNJvXCx4El.NhSoXUMPK2K}+#{zo5v2sL2Pcz.NhSoXUMPK2K}+#{QokZ5jjGLRz.NhSoXUMPK2K}+#{YkVzbDfJKMy.NhSoXUMPK2K}+#{H5NKPaRikyM.NhSoXUMPK2K}+#{FLT5619aj9V.NhSoXUMPK2K}+#{cKGenTODtq8.NhSoXUMPK2K}+#{nspiDhcn12j.NhSoXUMPK2K}
HTC Couples both HIV +ve rate (MOH 711),MlSa8hnRcAa,HTC Couples both HIV +ve rate (MOH 711),#{MKICatwGRPz.NhSoXUMPK2K},#{OPII6vOKimx.NhSoXUMPK2K}
HTC positivity rate (VCT&DTC-MOH 711),OMVrIqyNa0i,HTC positivity rate (VCT&DTC-MOH 711),#{sdA7bJkZc9E}+#{JglserSm6IQ}+#{SI8igpKYhVG},#{NeH2XNZ4B78}+#{rxhsRqFckMf}+#{s0Zi5NpklJN}
HTS_Adolescent Newly identified as HIV positive,y7E7ibjeroR,HTS_Adolescent,(#{wu0ITFRjUzF} + #{D9YwtS6RhQ1} + #{xMNhnyu7vm1} + #{kLXGWRLzCAw}),1
HTS_Adults Newly Identified as HIV positive,oRwSMGu83Ds,HTS_Adults,(#{kLXGWRLzCAw} + #{xMNhnyu7vm1} + #{F9OR49Lc1aR} + #{oCFXmpol7D8} + #{J4vNm7YEkdj} + #{cBTa1jVzT8f}),1
HTS_Children Newly identified as HIV positive,N6fSTAQgiLp,HTS_Children Identified.,(#{du5RMT3aecB} + #{D9YwtS6RhQ1} + #{wu0ITFRjUzF}),1
HTS_Efficiency,Z34438YtULH,HTS_effncy,(#{gMICOUtzqRb} + #{lj9QYJqS7bN} + #{YXJf27jfkvS} + #{XiRbc0DSMOH} + #{OePJt8CcZ0d} + #{JiuqbydCIcy} + #{pkShOkgNQt2} + #{atSQz5O7e2A} + #{gTkVw97FnQK}),(#{wu0ITFRjUzF} + #{D9YwtS6RhQ1} + #{xMNhnyu7vm1} + #{kLXGWRLzCAw} +  #{du5RMT3aecB} + #{oCFXmpol7D8} + #{F9OR49Lc1aR} + #{cBTa1jVzT8f} + #{J4vNm7YEkdj})
HTS_Linked,ANKboc5nOjW,Total number linked ,(#{EXmKDudsMNb} + #{fuX0Qzg218I} + #{fXErbzykgKz} + #{kAvepmaQr9c} + #{WOjriy3w7Fh}),1
HTS_Maternal Positivity rate,gSXmvbYI8du,HTS_Maternal Positivity rate,#{nwXS5vxrrr7}+#{hn3aChn4sVx}+#{AfHArvGun12},#{ETX9cUWF43c}+#{mQz4DhBSv9V}+#{LQpQQP3KnU1}
HTS_Number of  discordant couples ,AEGpotBQAeP,HTS_Number of discordant couples ,#{W0ChhvyVtSX},1
HTS_Proportion of HIV positive clients linked to treatment within 1 month,t8fnPRZBENL,HTS_Prop of HIV + clnts lnkd to trmt within 1 mnth,(#{jthpt5cVV9c} + #{LC2OqnUC5Sn} + #{DaNcGZnkclz} + #{yWkSi8L3qGm} + #{Hbc2qRi0U5x} +  #{mACm1JUzeLT} + #{zNCSlBKbS6d} + #{K59f8nZ5vhy} + #{Nv4OkbdDvmm} + #{SCMKsiNj6c5}),(#{wu0ITFRjUzF} + #{D9YwtS6RhQ1} + #{xMNhnyu7vm1} + #{kLXGWRLzCAw} + #{du5RMT3aecB} + #{oCFXmpol7D8} + #{F9OR49Lc1aR} + #{cBTa1jVzT8f} + #{J4vNm7YEkdj})
HTS_proportion of New diagnosed HIV clients,bM9J1FhdPRN,HTS_prop of HIV+ clnts,(#{wu0ITFRjUzF} + #{D9YwtS6RhQ1} + #{xMNhnyu7vm1} + #{kLXGWRLzCAw} + #{du5RMT3aecB} + #{oCFXmpol7D8} + #{F9OR49Lc1aR} + #{cBTa1jVzT8f} + #{J4vNm7YEkdj}),(#{YXJf27jfkvS} + #{XiRbc0DSMOH} + #{OePJt8CcZ0d} + #{JiuqbydCIcy} + #{pkShOkgNQt2} + #{atSQz5O7e2A} + #{gTkVw97FnQK} + #{gMICOUtzqRb} + #{lj9QYJqS7bN})
HV01-01 First Testing,iOPjrFDls4p,HV01-01 First Testing,#{Aioi6LxPb3N.NhSoXUMPK2K},1
HV01-02 Repeat Testing,d06EKU1S16R,HV01-02 Repeat Testing,#{jbzrwpsfYMN.NhSoXUMPK2K},1
HV01-03 Total Tested,VKbfAAbwxAG,HV01-03 Total Tested,#{h4pR1wz1JQb.NhSoXUMPK2K},1
HV01-10 Positive| Males - Below 15 year,uwQNmhpN4L8,Positive| Males - Below 15 year,#{DBZH3aC9gwQ.NhSoXUMPK2K},1
HV01-11 Positive| Females - Below 15 year,D2s7e1eCedC,HV01-11,#{QXQFd2JB10B.NhSoXUMPK2K},1
HV01-12 Positive Males 15-24 years,K1n4OqdgxdT,HV01-12 Positive Males 15-24 years,#{RCFqEXIiqed.NhSoXUMPK2K},1
HV01-13 Positive Female 15-24 years,mWJBu5l1Krj,HV01-13,#{c2pgDecBILP.NhSoXUMPK2K},1
HV01-14 Positive Males 25 years & older,iAF4i51JpUm,HV01-14,#{xN6GhQGgaoI.NhSoXUMPK2K},1
HV01-15 Positive Females 25 years & older,WQ6JZCOeSME,HV01-15,#{NMWgSKFW6U7.NhSoXUMPK2K},1
HV02-01 Testing for HIV Antenatal,eJ1syjWGqMO,HV02-01 Testing for HIV Antenatal,#{DrYHirleKid.NhSoXUMPK2K},1
HV02-05 Known positive status (at entry into ANC),wOfwMMoUpnP,HV02-05,#{TJMdle70A7X.NhSoXUMPK2K},1
HV02-06 HIV positive results Antenatal,rRJfQIyFAyP,HV02-06 HIV positive results Antenatal,#{GCAkHwMAWM6.NhSoXUMPK2K},1
HV02-13 Prophylaxis – NVP Only,gMaosZAfyyU,HV02-13 Prophylaxis – NVP Only,#{BZ9EGLQPnvl.NhSoXUMPK2K},1
HV02-14 Prophylaxis – (AZT + SdNVP),gZaJOLoWDub,HV02-14 Prophylaxis – (AZT + SdNVP),#{dba7gHtgiLi.NhSoXUMPK2K},1
HV02-15 Prophylaxis – Interrupted HAART,g2eipuUpQPB,HV02-15 Prophylaxis – Interrupted HAART,#{JZDDuahVatz.NhSoXUMPK2K},1
HV02-16 HAART (ART),nL5pCjFP2vb,HV02-16 HAART (ART),#{FRRDdqayYnU.NhSoXUMPK2K},1
HV02-17 Total PMTCT prophylaxis,dibw98D5VRQ,HV02-17 Total PMTCT prophylaxis,#{g62PclQcVba.NhSoXUMPK2K},1
HV03-21 (M) Starting ART - Below 15 years,R1xQIfrkJDQ,HV03-21 (M) Starting ART - Below 15 years,#{Ivi4xwwsjNN.NhSoXUMPK2K},1
HV03-22 (F) Starting ART - Below 15 years,Mj3Lm3dGqO5,HV03-22 (F) Starting ART - Below 15 years,#{QTfUGmnpzCm.NhSoXUMPK2K},1
HV03-23 (M) Starting ART - 15 years & older ,AemzmLNt6Q7,HV03-23 (M) Starting ART - 15 years & older ,#{yPGhCvz2bX2.NhSoXUMPK2K},1
HV03-24 (F) Starting ART - 15 years & older ,id6jSGcewy5,HV03-24 (F) Starting ART - 15 years & older ,#{CNK6qMLzi8b.NhSoXUMPK2K},1
HV03-35 Currently on ART - Below 15 years,ObhXYrRVf3Y,HV03-35 Currently on ART - Below 15 years,#{QISrDYwXnMw.NhSoXUMPK2K},1
HV03-36 Currently on ART - Below 15 years ,neF3KHwg8BY,HV03-36 Currently on ART - Below 15 years ,#{cbUoZG6mlS7.NhSoXUMPK2K},1
HV03-37 Currently on ART - 15 years & older,szxPSXHHXYC,HV03-37 Currently on ART - 15 years & older,#{oTjp04eBIaV.NhSoXUMPK2K},1
HV03-38 Currently on ART - 15 years & older,ZyiQZGfHInx,HV03-38 Currently on ART - 15 years & older,#{ISGNo6jMJlI.NhSoXUMPK2K},1
HWO2022_Total number of occupational incidents,pqDkyyMal5Z,Total number of occupational incidents,#{yCXLaSKG8Cg} + #{OEoiIeGG0nt},1
Hand Hygience Compliance Rate for Clinical Officers,NGAoqeH5UYM,HH Compliance Rate for Clinical Officers,#{yVJt3G51ur3.Ce06pMO8es6} + #{yVJt3G51ur3.jzjIo1V9O9L},#{yVJt3G51ur3.Ce06pMO8es6} + #{yVJt3G51ur3.VIbTo0yPdUk} + #{yVJt3G51ur3.jzjIo1V9O9L} + #{yVJt3G51ur3.YSgir3rUw0H}
Hand Hygience Compliance Rate for Doctors,x6G3U4erdxr,Hand Hygience Compliance Rate for Doctors,#{iv99y7nzJvR.Ce06pMO8es6} + #{iv99y7nzJvR.jzjIo1V9O9L},#{iv99y7nzJvR.Ce06pMO8es6} + #{iv99y7nzJvR.VIbTo0yPdUk} + #{iv99y7nzJvR.jzjIo1V9O9L} + #{iv99y7nzJvR.YSgir3rUw0H}
Hand Hygience Compliance Rate for Laboratory,qoIMBKMbjXK,HH Compliance Rate for Laboratory,#{Zks2R3Cy3Kn.Ce06pMO8es6} + #{Zks2R3Cy3Kn.jzjIo1V9O9L},#{Zks2R3Cy3Kn.Ce06pMO8es6} + #{Zks2R3Cy3Kn.VIbTo0yPdUk} + #{Zks2R3Cy3Kn.jzjIo1V9O9L} + #{Zks2R3Cy3Kn.YSgir3rUw0H}
Hand Hygience Compliance Rate for Nurses,Vb6mjpRxBAm,Hand Hygience Compliance Rate for Nurses,#{zgRORDnvTSE.Ce06pMO8es6} + #{zgRORDnvTSE.jzjIo1V9O9L},#{zgRORDnvTSE.Ce06pMO8es6} + #{zgRORDnvTSE.VIbTo0yPdUk} + #{zgRORDnvTSE.jzjIo1V9O9L} + #{zgRORDnvTSE.YSgir3rUw0H}
Hand Hygience Compliance Rate for Others,uFlZ5HgS2eG,Hand Hygience Compliance Rate for Others,#{MKTbL1B1Wn0.Ce06pMO8es6} + #{MKTbL1B1Wn0.jzjIo1V9O9L},#{MKTbL1B1Wn0.Ce06pMO8es6} + #{MKTbL1B1Wn0.VIbTo0yPdUk} + #{MKTbL1B1Wn0.jzjIo1V9O9L} + #{MKTbL1B1Wn0.YSgir3rUw0H}
Hand Hygience Compliance Rate for Students,uismOafrcrl,HH Compliance Rate for Students,#{AbKF3pgBBMB.Ce06pMO8es6} + #{AbKF3pgBBMB.jzjIo1V9O9L},#{AbKF3pgBBMB.Ce06pMO8es6} + #{AbKF3pgBBMB.VIbTo0yPdUk} + #{AbKF3pgBBMB.jzjIo1V9O9L} + #{AbKF3pgBBMB.YSgir3rUw0H}
Health Facility Attendance (Total),C6uw9Wtisfa,Health Facility Attendanc,#{rIkD2jIDqPh}+#{zXzBILTVJzD}+#{Ha96SBKI06u}+#{F6AwnxbwiK2}+#{x13zGZKuxzs}+#{uTQOSp7rx5h}+#{EsfvxFcltV0}+#{aq64ukEqs2N}+#{JQkE0bN9OTB}+#{d3jNYZueSmn}+#{hAH08l33p9B}+#{JGbmLfjZPEf}+#{SyUQl638r5P}+#{T22hPVk4yGZ}+#{T22hPVk4yGZ}+#{QStt76mU06X}+#{DpR59HXC0jW}+#{GAeKNgKXNDm}+#{WEW9Bjga52F},1
House to House Vaccination Strategy,tI46ulV5g4Y,House to House ,#{sgEpaCzTzvY.bUz00a8pctE} + #{sgEpaCzTzvY.oip6bIFCwOB} + #{sgEpaCzTzvY.Lvd1oGx0HHb} + #{sgEpaCzTzvY.sqjrYVS6XdS} + #{ocZqT75qL0Q.bUz00a8pctE} + #{ocZqT75qL0Q.oip6bIFCwOB} + #{ocZqT75qL0Q.Lvd1oGx0HHb} + #{ocZqT75qL0Q.sqjrYVS6XdS} + #{xpZcEqvnYoc.bUz00a8pctE} + #{xpZcEqvnYoc.oip6bIFCwOB} + #{xpZcEqvnYoc.Lvd1oGx0HHb} + #{xpZcEqvnYoc.sqjrYVS6XdS} + #{OoQXhDZC2rl.bUz00a8pctE} + #{OoQXhDZC2rl.oip6bIFCwOB} + #{OoQXhDZC2rl.Lvd1oGx0HHb} + #{OoQXhDZC2rl.sqjrYVS6XdS} + #{MERTp2n8Kl8.vhe85utpULd} + #{MERTp2n8Kl8.jg9pthd0JoS} + #{CAa7cjb9ur4.vhe85utpULd} + #{CAa7cjb9ur4.jg9pthd0JoS} + #{JFPzGka2cDN.vhe85utpULd} + #{JFPzGka2cDN.jg9pthd0JoS} + #{aT4Yb7Gd9JA.vhe85utpULd} + #{aT4Yb7Gd9JA.jg9pthd0JoS} + #{JveFJDlz6oV.bUz00a8pctE} + #{JveFJDlz6oV.oip6bIFCwOB} + #{JveFJDlz6oV.Lvd1oGx0HHb} + #{JveFJDlz6oV.sqjrYVS6XdS},1
Household size,jMbilBMV2Pe,Household size,#{NLKRV7bYbVy.NhSoXUMPK2K},#{duLaKUuuAwV.NhSoXUMPK2K}
Hydrocortisone Injection 100mg (Vial) MoS,tFikgcVkTSr,Hydrocortisone Injection 100mg (Vial),#{Ss60yT7k8lU.n8XlCFUpWOG},#{C5HRQXl977d.QvctQfKAQn3}
IDSR - Malaria Incidence Rate (per 1000 population),eCcSxVr5BYD,Malaria Incidence Rate (per 1000 population),(#{IYnqoV2vlRq.FIYMDBzdabP} + #{IYnqoV2vlRq.ROXPeIvP89X}),#{NLKRV7bYbVy}
IDSR Acute Flaccid Paralysis (AFP for Poliomyelitis) Cases,YrVngLCNhCN,IDSR Acute Flaccid Paralysis ,#{ZQiG8Aidl8J.dCd7yKlyqk4} + #{ZQiG8Aidl8J.PTWBeC1K2HJ},1
IDSR Acute Flaccid Paralysis (AFP for Poliomyelitis) Deaths,IPzqbhBXzYI,IDSR Acute Flaccid Paralysis,#{ZQiG8Aidl8J.GR4pbqLKhMV} + #{ZQiG8Aidl8J.EqEj84xFkHz},1
IDSR Acute Jaundice Cases,QcCSmjw0E1t,IDSR Acute Jaundice ,#{RGozddXpuwI.dCd7yKlyqk4}  + #{RGozddXpuwI.PTWBeC1K2HJ},1
IDSR Acute Jaundice Deaths,mdLORcOXNVC,IDSR Acute Jaundice Deaths,#{RGozddXpuwI.GR4pbqLKhMV} + #{RGozddXpuwI.EqEj84xFkHz},1
IDSR Acute Malnutrition Cases,XUmIT8vmtB8,IDSR Acute Malnutrition Total,#{ycHTiTrGfHi.dCd7yKlyqk4} + #{ycHTiTrGfHi.PTWBeC1K2HJ} ,1
IDSR Acute Malnutrition Deaths,SvGX6aqR44S,IDSR Acute Malnutrition Deaths, #{ycHTiTrGfHi.GR4pbqLKhMV} + #{ycHTiTrGfHi.EqEj84xFkHz},1
IDSR Anthrax Cases,VIbr1Dhv7Zt,IDSR Anthrax Cases,#{YjkS8YBwtM3.dCd7yKlyqk4} + #{YjkS8YBwtM3.PTWBeC1K2HJ},1
IDSR Anthrax Deaths,RLzaFBwaWFN,IDSR Anthrax Deaths,#{YjkS8YBwtM3.GR4pbqLKhMV} + #{YjkS8YBwtM3.EqEj84xFkHz},1
IDSR Cholera Cases,mxWEOiayWem,IDSR Cholera Total,#{wajkorhT4I5.dCd7yKlyqk4} + #{wajkorhT4I5.PTWBeC1K2HJ},1
IDSR Cholera Deaths,MqEYVvHFn4C,IDSR Cholera Deaths,#{wajkorhT4I5.GR4pbqLKhMV} + #{wajkorhT4I5.EqEj84xFkHz},1
IDSR Dengue Deaths,aoDMYH6STyu,IDSR Dengue Deaths,#{TVbSuL9AdcI.GR4pbqLKhMV} + #{TVbSuL9AdcI.EqEj84xFkHz},1
IDSR Dengue Total,rNvGKtwbte6,IDSR Dengue Total,#{TVbSuL9AdcI.dCd7yKlyqk4} + #{TVbSuL9AdcI.PTWBeC1K2HJ},1
IDSR Dummy1,k99fKerg18p,IDSR Dummy1,0,1
IDSR Dummy2,aS7l3UKgTEL,IDSR Dummy2,0,1
IDSR Dysentry Deaths,ZpEL8teGmpy,IDSR Dysentry Deaths,#{tn0o15uvfgP.GR4pbqLKhMV} + #{tn0o15uvfgP.EqEj84xFkHz},1
IDSR Dysentry Total,SvFYd0EZdF1,IDSR Dysentry Total,#{tn0o15uvfgP.dCd7yKlyqk4}  + #{tn0o15uvfgP.PTWBeC1K2HJ},1
IDSR Guinea Worm Disease Deaths,hInp9Yu39ap,IDSR Guinea Worm Disease Deaths,#{sL7vw21TOKw.GR4pbqLKhMV} + #{sL7vw21TOKw.EqEj84xFkHz},1
IDSR Guinea Worm Disease Total,DyCmCMGhcaT,IDSR Guinea Worm Disease Total,#{sL7vw21TOKw.dCd7yKlyqk4} + #{sL7vw21TOKw.PTWBeC1K2HJ},1
IDSR Malaria Cases,aqtAtDtbywp,IDSR Malaria Total,#{GJDppyWOYYM.dCd7yKlyqk4} + #{GJDppyWOYYM.PTWBeC1K2HJ}  ,1
IDSR Malaria Deaths,vqyFNp0Tyjj,IDSR Malaria Deaths,#{GJDppyWOYYM.GR4pbqLKhMV} + #{GJDppyWOYYM.EqEj84xFkHz},1
IDSR Malaria Incidence Rate (per 1000 population),nWOrfKtYJpz,IDSR Malaria Incidence Rate (per 1000 population),#{IYnqoV2vlRq.FIYMDBzdabP} + #{IYnqoV2vlRq.ROXPeIvP89X},(#{Mpv8crmnOzy} + #{w5ltvnNihEZ})
IDSR Malaria Positivity,cILf2i4484b,IDSR malaria positivity ,((#{IYnqoV2vlRq.FIYMDBzdabP} + #{IYnqoV2vlRq.ROXPeIvP89X}) /(#{IYnqoV2vlRq.Gs4AqH6n3mV} + #{IYnqoV2vlRq.dbZfB6Oub9K})) * 100,1
IDSR Malaria Positivity (revised),V78EpwfHA2V,IDSR malaria positivity (revised),"((#{bB8vhQefDlH.lHl2rmXpHse} + #{bB8vhQefDlH.SeDaCnHi3m5} + #{q40X71immxZ.lHl2rmXpHse} + #{q40X71immxZ.SeDaCnHi3m5}) /(#{XLT68mdLbJT.lHl2rmXpHse} + #{XLT68mdLbJT.SeDaCnHi3m5} + #{YjZ3XFV2Zum.lHl2rmXpHse} + #{YjZ3XFV2Zum.SeDaCnHi3m5})) * 100


",1
IDSR Malaria Tested Positive,gzxF71bqYP8,IDSR Malaria Tested +ve,#{IYnqoV2vlRq.FIYMDBzdabP} + #{IYnqoV2vlRq.ROXPeIvP89X},1
IDSR Malaria Tested Positive (Revised),Ak6JvvdNbSB,IDSR Malaria Tested +ve,#{bB8vhQefDlH.lHl2rmXpHse} + #{bB8vhQefDlH.SeDaCnHi3m5} + #{q40X71immxZ.lHl2rmXpHse} + #{q40X71immxZ.SeDaCnHi3m5},1
IDSR Maternal deaths,Iq9dK8PQGks,IDSR Maternal deaths,#{lJotmrRnSnD.dCd7yKlyqk4} + #{lJotmrRnSnD.PTWBeC1K2HJ},1
IDSR Maternal deaths Deaths,ODPXXGbNVz3,IDSR Maternal deaths Deaths,#{lJotmrRnSnD.dCd7yKlyqk4} + #{lJotmrRnSnD.PTWBeC1K2HJ},1
IDSR Measles Deaths,iZa8X0R8DC2,IDSR Measles Deaths, #{Tz0tiCQ8o6X.EqEj84xFkHz}+ #{Tz0tiCQ8o6X.GR4pbqLKhMV} ,1
IDSR Measles Total,MjpTjUPSLY6,IDSR Measles,#{Tz0tiCQ8o6X.dCd7yKlyqk4} + #{Tz0tiCQ8o6X.PTWBeC1K2HJ} ,1
IDSR Meningococcal Meningitis Deaths,pxZwZGa3S79,IDSR Meningococcal Meningitis Deaths,#{IVT5avXg4CC.EqEj84xFkHz}+ #{IVT5avXg4CC.GR4pbqLKhMV},1
IDSR Meningococcal Meningitis Total,rQT7Z4eJmQp,IDSR Meningococcal,#{IVT5avXg4CC.dCd7yKlyqk4}  + #{IVT5avXg4CC.PTWBeC1K2HJ},1
IDSR Neonatal Tetanus Deaths,Uaezmz9SzNy,IDSR Neonatal Tetanus Deaths,#{SLnpLPVE4RI.GR4pbqLKhMV} + #{SLnpLPVE4RI.EqEj84xFkHz},1
IDSR Neonatal Tetanus Total,hUIVHkS4Zt4,IDSR Neonatal Tetanus Total,#{SLnpLPVE4RI.dCd7yKlyqk4} + #{SLnpLPVE4RI.PTWBeC1K2HJ},1
IDSR Neonatal deaths Deaths,o6UNt4eaw0C,IDSR Neonatal deaths Deaths,#{eH7m94f1Mrv.GR4pbqLKhMV} + #{eH7m94f1Mrv.EqEj84xFkHz},1
IDSR Neonatal deaths Total,WNovNDcvhHl,IDSR Neonatal deaths Total,#{eH7m94f1Mrv.dCd7yKlyqk4} + #{eH7m94f1Mrv.PTWBeC1K2HJ} ,1
IDSR Other Viral Haemorrhagic Fevers Deaths,QMk6rJZtBT9,IDSR Other Viral Haemorrhagic Fevers Deaths,#{rnUg5fAPgxU.GR4pbqLKhMV} + #{rnUg5fAPgxU.EqEj84xFkHz},1
IDSR Other Viral Haemorrhagic Fevers Total,ntWgkwXCFp2,IDSR Other Viral Haemorrhagic Fevers Total,#{rnUg5fAPgxU.dCd7yKlyqk4} + #{rnUg5fAPgxU.PTWBeC1K2HJ},1
IDSR Plague Deaths,bZNWTQiGyPx,IDSR Plague Deaths,#{WXmC1SmmY8j.GR4pbqLKhMV} + #{WXmC1SmmY8j.EqEj84xFkHz},1
IDSR Plague Total,dwFMOqpWdJw,IDSR Plague Total,#{WXmC1SmmY8j.dCd7yKlyqk4} + #{WXmC1SmmY8j.PTWBeC1K2HJ},1
IDSR Rabies Deaths,rl6ivYvMVKJ,IDSR Rabies Deaths, #{S8DADvgv6Gy.GR4pbqLKhMV} + #{S8DADvgv6Gy.EqEj84xFkHz},1
IDSR Rabies Total,WnKnWVYZ6eX,IDSR Rabies Total,#{S8DADvgv6Gy.dCd7yKlyqk4} + #{S8DADvgv6Gy.PTWBeC1K2HJ},1
IDSR Suspected MDR/XDR TB Deaths,WQNqVsRWbje,IDSR Suspected MDR/XDR TB Deaths,#{dvgrSof8WCi.GR4pbqLKhMV} + #{dvgrSof8WCi.EqEj84xFkHz},1
IDSR Suspected MDR/XDR TB Total,FL1TjrtvExn,IDSR Suspected MDR/XDR TB Total,#{dvgrSof8WCi.dCd7yKlyqk4} + #{dvgrSof8WCi.PTWBeC1K2HJ},1
IDSR Tested for malaria  Positives,piQnwzWtwea,IDSR Tested for malaria  Positives,#{IYnqoV2vlRq.FIYMDBzdabP} + #{IYnqoV2vlRq.ROXPeIvP89X},1
IDSR Tested for malaria No. Tested,SpdUqIVx8ik,IDSR Tested for malaria No. Tested,#{IYnqoV2vlRq.Gs4AqH6n3mV} + #{IYnqoV2vlRq.dbZfB6Oub9K},1
IDSR Tested for malaria No. Tested (Revised),ej0bzHKeyEW,IDSR Tested for malaria No. Tested (revised),#{XLT68mdLbJT.lHl2rmXpHse} + #{XLT68mdLbJT.SeDaCnHi3m5} + #{YjZ3XFV2Zum.lHl2rmXpHse} + #{YjZ3XFV2Zum.SeDaCnHi3m5},1
IDSR Total Malaria Cases,lVdrgTPxzHO,IDSR Total Malaria Cases,(#{GJDppyWOYYM.dCd7yKlyqk4} + #{GJDppyWOYYM.PTWBeC1K2HJ}),1
IDSR Total Malaria Tests Performed,NEuSmgwbwzR,IDSR Total Malaria Tests Performed,(#{IYnqoV2vlRq.Gs4AqH6n3mV} + #{IYnqoV2vlRq.dbZfB6Oub9K}),1
IDSR Typhoid Deaths,vzVMT5xJLQR,IDSR Typhoid Deaths, #{LwwVppGxNJk.GR4pbqLKhMV} + #{LwwVppGxNJk.EqEj84xFkHz},1
IDSR Typhoid Total,SIKZR5L29QV,IDSR Typhoid Total,#{LwwVppGxNJk.dCd7yKlyqk4} + #{LwwVppGxNJk.PTWBeC1K2HJ} ,1
IDSR Yellow Fever Deaths,kUMdI6Ip4rm,IDSR Yellow Fever Deaths,#{NQwgklXIeG2.GR4pbqLKhMV} + #{NQwgklXIeG2.EqEj84xFkHz},1
IDSR Yellow Fever Total,DHf4qRMuNVZ,IDSR Yellow Fever Total,#{NQwgklXIeG2.dCd7yKlyqk4} + #{NQwgklXIeG2.PTWBeC1K2HJ},1
IHRIS All Nurses Total,AYtbeQ0IsCM,IHRIS All Nurses Total,#{pfIYHskfyhQ}+#{oGRUr2UiR8E}+#{CGN15kwiEla.NhSoXUMPK2K}+#{qrQRIOl3Y7W}+#{tdkj2HWk7GG}+#{e4SD2TEWunw}+#{aOH63LerJKG}+#{LJVhaEUREt1}+#{YBRNewyiKTG}+#{FheKkDXpzuB}+#{YFJwW8QWT0s}+#{N6JCCDgmijq}+#{D1YK6LDr1uo}+#{yut0lbk8fLZ}+#{v5YHnZPeu3Y}+#{T0ncWxRLsyF}+#{fDNhtWxxkDD}+#{nW6QimezeUY},1
IHRIS BSN Nurses Total Using Male and Female,MZ8QvOEjliE,IHRIS BSN Nurses Total Using Male and Female,#{CGN15kwiEla.Lt6CjodPpWZ}+#{CGN15kwiEla.MJAGUpeHkpn},1
